"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Samsung Health","com.sec.android.app.shealth","https://play.google.com/store/apps/details?id=com.sec.android.app.shealth","https://lh3.googleusercontent.com/X3UHtmFWG-_0YH359JIjYJxj2cgfij3Rwu4t7AZfrqK0BwT8JpuvmtEpotBDBHCjGg","Samsung Electronics Co.,  Ltd.","5200379633052405703","FREE",true,"Lifestyle companion to track your fitness, weight, diet, food &amp; sleep.","4.3",4.3253555"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Fitbit","com.fitbit.FitbitMobile","https://play.google.com/store/apps/details?id=com.fitbit.FitbitMobile","https://lh3.googleusercontent.com/dIpnDB-EbJhzSkF1jpdHKMq0q1oq58ZsRWVKuEGzmGGaPSIwHKFq05ROAOLS4SzFUw","Fitbit, Inc.","Fitbit, Inc.","FREE",true,"Fitbit is dedicated to helping people lead healthier, more active lives.","3.9",3.897927"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Lose It! - Calorie Counter","com.fitnow.loseit","https://play.google.com/store/apps/details?id=com.fitnow.loseit","https://lh3.googleusercontent.com/eQXGwwKkSAqezH7nicdMhsM7BfUf29XQFtPbJLdOH81Grtk8ylKqZGISzcWcSddgcWs","FitNow, Inc.","FitNow, Inc.","FREE",true,"“Be committed! Be persistent! Don’t give up!” - Judy, lost 55 lbs with Lose It!","4.4",4.380992"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Headspace: Meditation & Sleep","com.getsomeheadspace.android","https://play.google.com/store/apps/details?id=com.getsomeheadspace.android","https://lh3.googleusercontent.com/y6ZZo_LKpI8sBXAHb9TMSfgoY96yVU0ecumaOb8hckSdvDzdssiQd2QW1cx1CrjvA4bQ","Headspace, Inc.","Headspace, Inc.","FREE",true,"Just a few minutes can change your day","4.5",4.484707"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"CVS/pharmacy","com.cvs.launchers.cvs","https://play.google.com/store/apps/details?id=com.cvs.launchers.cvs","https://lh3.googleusercontent.com/9qthLbTPNdS6WiEzRvwTKadyvdoBl7B3BOz2VwQxH1IX6HGaZzcCBibQ_L8DSyvHaCo","CVS Pharmacy","CVS Pharmacy","FREE",true,"The official CVS/pharmacy® app for prescriptions, ExtraCare® coupons and photo.","4.4",4.3776135"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Drink Water Reminder: Water Tracker & Alarm","com.health.lab.drink.water.tracker","https://play.google.com/store/apps/details?id=com.health.lab.drink.water.tracker","https://lh3.googleusercontent.com/nUJCw1bUg33P0ntIz8DSIGLj8WnEr83eDDGgSG8Z21V9VqwdXTeK0MJEhaMKiRZXhdIl","Simple Health Lab","Simple Health Lab","FREE",true,"💧Track your water intake with water tracker and water drink reminder app!💧","4.9",4.8607464"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Calorie Counter - MyFitnessPal","com.myfitnesspal.android","https://play.google.com/store/apps/details?id=com.myfitnesspal.android","https://lh3.googleusercontent.com/WkGXEesGEu4ayZctjADlDKdscS3Ve1hmoVzhHQYh9NuK9QpDA3Rx6ae3jg7VH2dFZqk","MyFitnessPal, Inc.","MyFitnessPal, Inc.","FREE",true,"Lose weight with MyFitnessPal, the easiest calorie counter and macro tracker","4.6",4.600016"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Sweatcoin Pays You To Get Fit","in.sweatco.app","https://play.google.com/store/apps/details?id=in.sweatco.app","https://lh3.googleusercontent.com/2G0BofokJNL-92f9t7Z_5_uh593ywcuZ2uHPKOq7WpGyLy4ufv67km1m9a70-2fJJw","Sweatco Ltd","Sweatco Ltd","FREE",true,"Turn your steps to &#39;sweat coins&#39; - digital currency to make you fit and active!","3.9",3.9175155"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Lose Belly Fat in 30 Days - Flat Stomach","losebellyfat.flatstomach.absworkout.fatburning","https://play.google.com/store/apps/details?id=losebellyfat.flatstomach.absworkout.fatburning","https://lh3.googleusercontent.com/V6LuVHJV77oba6sEaGP7802wmBMbH50cxUuyb88baz_6ZBfz9-1oo3V46BpQ4iwHmls","Leap Fitness Group","Leap Fitness Group","FREE",true,"Want to Lose Belly Fat fast at Home?<br>Want to get a Flat Stomach in 30 days?","4.9",4.859464"title","appId","url","icon","developer","developerId","priceText","free","summary","scoreText","score"
"Calm - Meditate, Sleep, Relax","com.calm.android","https://play.google.com/store/apps/details?id=com.calm.android","https://lh3.googleusercontent.com/NmWh7Jnm_VxC-SOfT3VhqmnGlc4sMWLJh9SDfBL1hRx7PG2WA0yS8VY7Mhi1m7P7UQ","Calm.com, Inc.","Calm.com, Inc.","FREE",true,"Join the millions discovering the life-changing benefits of meditation with Calm","4.5",4.5244727